time	V(vout)
Step Information: Run=0  (Run: 1/65)
1.900865344112664e+000	1.081193e-003
1.900867348176337e+000	1.224384e-003
1.900871356303683e+000	1.660758e-003
1.900872126299360e+000	1.827103e-003
1.900873666290714e+000	2.371890e-003
1.900874051288553e+000	2.609337e-003
1.900874821284230e+000	3.331912e-003
1.900874994411399e+000	3.582046e-003
1.900875340665736e+000	4.325919e-003
1.900875575743498e+000	5.092390e-003
1.900875825708486e+000	6.369394e-003
1.900875981735210e+000	7.643570e-003
1.900876123555578e+000	9.509295e-003
1.900876242361170e+000	1.205132e-002
1.900876347184208e+000	1.580109e-002
1.900876438817718e+000	2.139514e-002
1.900876520638513e+000	3.004103e-002
1.900876596750286e+000	4.405500e-002
1.900876671288046e+000	6.783646e-002
1.900876750550803e+000	1.095077e-001
1.900876835667932e+000	1.774165e-001
1.900876963293811e+000	3.110661e-001
1.900877111242328e+000	4.876921e-001
1.900877251864689e+000	6.642483e-001
1.900877482524281e+000	9.580481e-001
1.900877943843465e+000	1.547668e+000
1.900878866481832e+000	2.720685e+000
1.900879243569359e+000	3.166833e+000
1.900879380625458e+000	3.293513e+000
1.900879380865226e+000	3.293772e+000
1.900879381344762e+000	3.294265e+000
1.900879382152078e+000	3.294615e+000
1.900879382856996e+000	3.294744e+000
1.900879388302380e+000	3.295402e+000
1.900879394525675e+000	3.295990e+000
1.900879406972267e+000	3.296846e+000
1.900879428037942e+000	3.297793e+000
1.900879447936390e+000	3.298332e+000
1.900879475462469e+000	3.298749e+000
1.900879511194197e+000	3.299055e+000
1.900879559966456e+000	3.299278e+000
1.900879628031082e+000	3.299439e+000
1.900879728507195e+000	3.299555e+000
1.900879878487261e+000	3.299637e+000
1.900880117754887e+000	3.299695e+000
1.900880506185574e+000	3.299735e+000
1.900881183261256e+000	3.299762e+000
1.900882390336711e+000	3.299779e+000
1.900884723614706e+000	3.299789e+000
1.900898584492024e+000	3.299798e+000
1.900917065661782e+000	3.299799e+000
1.905611282780272e+000	3.299800e+000
1.910342462238278e+000	3.299800e+000
1.919804821154290e+000	3.299801e+000
1.929570446154290e+000	3.299801e+000
1.939336071154290e+000	3.299802e+000
1.949101696154290e+000	3.299803e+000
1.958867321154290e+000	3.299803e+000
1.978398571154290e+000	3.299805e+000
1.997929821154290e+000	3.299806e+000
2.017461071154290e+000	3.299807e+000
2.046757946154290e+000	3.299808e+000
2.076054821154290e+000	3.299809e+000
2.105351696154290e+000	3.299810e+000
2.134648571154290e+000	3.299810e+000
2.163945446154290e+000	3.299811e+000
2.203007946154290e+000	3.299812e+000
2.242070446154290e+000	3.299812e+000
2.281132946154290e+000	3.299812e+000
2.320195446154290e+000	3.299811e+000
2.349492321154290e+000	3.299806e+000
2.359257946154290e+000	3.299798e+000
2.369023571154290e+000	3.299779e+000
2.370244274279290e+000	3.299773e+000
2.370549450060540e+000	3.299769e+000
2.371159801623040e+000	3.299758e+000
2.371312389513665e+000	3.299753e+000
2.371617565294915e+000	3.299728e+000
2.372227916857415e+000	3.299634e+000
2.372246990343743e+000	3.299626e+000
2.372285137316399e+000	3.299587e+000
2.372361431261711e+000	3.299429e+000
2.372380504748040e+000	3.299338e+000
2.372385273119622e+000	3.299292e+000
2.372394809862786e+000	3.299158e+000
2.372397194048577e+000	3.299103e+000
2.372401962420159e+000	3.298942e+000
2.372403154513054e+000	3.298882e+000
2.372405538698845e+000	3.298681e+000
2.372408925814593e+000	3.298224e+000
2.372409669614994e+000	3.298006e+000
2.372411157215797e+000	3.297292e+000
2.372411356550575e+000	3.297135e+000
2.372411755220131e+000	3.296626e+000
2.372412285532024e+000	3.295601e+000
2.372412556371994e+000	3.294696e+000
2.372412795017850e+000	3.293371e+000
2.372412940657055e+000	3.292037e+000
2.372413090901516e+000	3.289755e+000
2.372413216272235e+000	3.286508e+000
2.372413322844124e+000	3.281639e+000
2.372413412920651e+000	3.274325e+000
2.372413492531570e+000	3.262856e+000
2.372413567669640e+000	3.243526e+000
2.372413649649453e+000	3.207679e+000
2.372413727534063e+000	3.153709e+000
2.372413829872793e+000	3.055834e+000
2.372413940601997e+000	2.929606e+000
2.372414073750574e+000	2.765482e+000
2.372414235697511e+000	2.560657e+000
2.372414546915660e+000	2.163454e+000
2.372415169351959e+000	1.367278e+000
2.372415739247774e+000	6.397711e-001
2.372415881721727e+000	4.609072e-001
2.372416166669635e+000	1.225624e-001
2.372416271448500e+000	1.538490e-002
2.372416272858374e+000	1.462971e-002
2.372416277550856e+000	1.268489e-002
2.372416282475153e+000	1.098124e-002
2.372416292323745e+000	8.298836e-003
2.372416304535790e+000	5.954504e-003
2.372416320053506e+000	4.056633e-003
2.372416334178477e+000	3.002122e-003
2.372416351784624e+000	2.224675e-003
2.372416372767804e+000	1.669177e-003
2.372416400045177e+000	1.252364e-003
2.372416435998726e+000	9.453158e-004
2.372416484733800e+000	7.219329e-004
2.372416552787322e+000	5.613128e-004
2.372416653307206e+000	4.445490e-004
2.372416803186292e+000	3.627938e-004
2.372417042742666e+000	3.048456e-004
2.372417430733268e+000	2.654367e-004
2.372418108806166e+000	2.385738e-004
2.372419314287754e+000	2.213139e-004
2.372421651825075e+000	2.104973e-004
2.372435488837940e+000	2.015612e-004
2.372453938188427e+000	2.005709e-004
2.401074799386014e+000	1.985771e-004
2.420606049386014e+000	1.972280e-004
2.440137299386014e+000	1.960119e-004
2.459668549386014e+000	1.949156e-004
2.479199799386014e+000	1.939276e-004
2.498731049386014e+000	1.930370e-004
2.518262299386014e+000	1.922342e-004
2.537793549386014e+000	1.915107e-004
2.557324799386014e+000	1.908585e-004
2.576856049386014e+000	1.902707e-004
2.596387299386014e+000	1.897411e-004
2.615918549386014e+000	1.892645e-004
2.635449799386014e+000	1.888371e-004
2.654981049386014e+000	1.884576e-004
2.674512299386014e+000	1.881287e-004
2.694043549386014e+000	1.878601e-004
2.713574799386014e+000	1.876724e-004
2.733106049386014e+000	1.876025e-004
2.752637299386014e+000	1.877140e-004
2.772168549386014e+000	1.881256e-004
2.791699799386014e+000	1.890883e-004
2.811231049386014e+000	1.913135e-004
2.820996674386014e+000	1.937304e-004
2.830762299386014e+000	2.016187e-004
2.840527924386014e+000	2.205796e-004
2.841748627511014e+000	2.264484e-004
2.842053803292264e+000	2.300577e-004
2.842816742745389e+000	2.458877e-004
2.843121918526639e+000	2.678932e-004
2.843732270089139e+000	3.467086e-004
2.843751343575467e+000	3.526891e-004
2.843789490548124e+000	3.775169e-004
2.843865784493436e+000	4.545819e-004
2.843884857979764e+000	5.011989e-004
2.843923004952421e+000	6.902385e-004
2.843932541695585e+000	7.870120e-004
2.843934925881376e+000	8.307189e-004
2.843939694252958e+000	9.483788e-004
2.843940886345853e+000	9.883139e-004
2.843943270531644e+000	1.122202e-003
2.843948038903226e+000	1.534829e-003
2.843948956418836e+000	1.698611e-003
2.843950791450057e+000	2.249708e-003
2.843951250207862e+000	2.507093e-003
2.843952167723472e+000	3.319002e-003
2.843952341632781e+000	3.565691e-003
2.843952689451398e+000	4.312357e-003
2.843952921724229e+000	5.071508e-003
2.843953175861349e+000	6.376530e-003
2.843953333226469e+000	7.671179e-003
2.843953473318683e+000	9.531940e-003
2.843953591123675e+000	1.207504e-002
2.843953695420923e+000	1.583363e-002
2.843953786844311e+000	2.145242e-002
2.843953868566730e+000	3.014518e-002
2.843953944637897e+000	4.424623e-002
2.843954019211655e+000	6.818818e-002
2.843954098425650e+000	1.100615e-001
2.843954183749705e+000	1.784275e-001
2.843954312541879e+000	3.135895e-001
2.843954458546261e+000	4.880297e-001
2.843954600625106e+000	6.664766e-001
2.843954831081576e+000	9.600255e-001
2.843955291994517e+000	1.549133e+000
2.843956213820400e+000	2.721109e+000
2.843956590562689e+000	3.166852e+000
2.843956727557752e+000	3.293502e+000
2.843956727797470e+000	3.293761e+000
2.843956728276905e+000	3.294254e+000
2.843956729085189e+000	3.294605e+000
2.843956729790732e+000	3.294734e+000
2.843956735239730e+000	3.295394e+000
2.843956741467156e+000	3.295984e+000
2.843956753922007e+000	3.296843e+000
2.843956774954623e+000	3.297790e+000
2.843956794838839e+000	3.298330e+000
2.843956822331363e+000	3.298748e+000
2.843956858021373e+000	3.299053e+000
2.843956906719651e+000	3.299277e+000
2.843956974682463e+000	3.299438e+000
2.843957074979037e+000	3.299555e+000
2.843957224682504e+000	3.299637e+000
2.843957463440487e+000	3.299695e+000
2.843957851007017e+000	3.299734e+000
2.843958526371389e+000	3.299761e+000
2.843959730248823e+000	3.299779e+000
